GAME 0 (totals only),AS,NT,HS,SR,GM
birds,,,,,
bonus cards,,,,,
End-of-round goals,,,,,
eggs,,,,,
food on cards,,,,,
tucked cards,,,,,
Total,84,88,69,86,
Placement,3,1,4,2,
,,,,,
GAME 1,AS,NT,HS,SR,GM
birds,34,34,33,39,
bonus cards,9,11,5,4,
End-of-round goals,12,7,12,4,
eggs,11,12,11,25,
food on cards,3,0,2,0,
tucked cards,0,5,3,19,
Total,69,69,66,91,
Placement,2,2,4,1,
(We didnt check tie break this game),,,,,
Game 2,,,,,
birds,37,31,30,28,
bonus cards,0,3,0,3,
End-of-round goals,13,4,7,11,
eggs,25,18,28,32,
food on cards,0,4,0,0,
tucked cards,3,6,4,13,
Total,78,66,69,87,
Placement,2,4,3,1,
,,,,,
Game 3,,,,,
birds,23,,26,31,37
bonus cards,5,,3,4,4
End-of-round goals,13,,2,8,11
eggs,16,,13,18,21
food on cards,0,,0,4,0
tucked cards,21,,20,6,5
Total,78,,64,71,78
Placement,2,,4,3,1
,,,,,
Game 4,,,,,
birds,37,43,49,30,35
bonus cards,0,6,4,4,7
End-of-round goals,1,8,7,8,11
eggs,14,23,24,38,25
food on cards,0,7,0,0,0
tucked cards,18,0,2,7,9
Total,70,87,86,87,87
Placement,5,1,4,2,3
,,,,,
Game 5,,,,,
birds,24,45,46,40,29
bonus cards,0,3,10,5,9
End-of-round goals,4,2,8,9,11
eggs,26,24,33,20,23
food on cards,0,0,0,0,0
tucked cards,15,0,1,18,12
Total,69,74,98,92,84
Placement,5,4,1,2,3
